"Number","GPO","Title","Type","Expected","Actual","Status","Details"
"17.5.5","Enterprise -Audit Settings","Ensure 'Audit Other Logon/Logoff Events' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.5.6","Enterprise -Audit Settings","Ensure 'Audit Special Logon' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.6.3","Enterprise -Audit Settings","Ensure 'Audit Other Object Access Events' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.6.4","Enterprise -Audit Settings","Ensure 'Audit Removable Storage' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.7.1","Enterprise -Audit Settings","Ensure 'Audit Audit Policy Change' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.7.2","Enterprise -Audit Settings","Ensure 'Audit Authentication Policy Change' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.7.3","Enterprise -Audit Settings","Ensure 'Audit Authorization Policy Change' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.7.4","Enterprise -Audit Settings","Ensure 'Audit MPSSVC Rule-Level Policy Change' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.7.5","Enterprise -Audit Settings","Ensure 'Audit Other Policy Change Events' is set to include 'Failure' (Automated)","AuditPol","Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.8.1","Enterprise -Audit Settings","Ensure 'Audit Sensitive Privilege Use' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.9.1","Enterprise -Audit Settings","Ensure 'Audit IPsec Driver' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.9.2","Enterprise -Audit Settings","Ensure 'Audit Other System Events' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.9.3","Enterprise -Audit Settings","Ensure 'Audit Security State Change' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.9.4","Enterprise -Audit Settings","Ensure 'Audit Security System Extension' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.9.5","Enterprise -Audit Settings","Ensure 'Audit System Integrity' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"18.1.1.1","Enterprise - Misc","Ensure 'Prevent enabling lock screen camera' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.1.1.2","Enterprise - Misc","Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.1.2.2","Enterprise - Misc","Ensure 'Allow users to enable online speech recognition services' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.10.13.3","Enterprise - Misc","Ensure 'Turn off Microsoft consumer experiences' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.10.14.1","Enterprise - Misc","Ensure 'Require pin for pairing' is set to 'Enabled: First Time' OR 'Enabled: Always' (Automated)","Registry","1","1","PASS",""
"18.10.15.2","Enterprise - Set Default Settings","Ensure 'Enumerate administrator accounts on elevation' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.10.15.3","Enterprise - Misc","Ensure 'Prevent the use of security questions for local accounts' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.10.16.1","Enterprise - Misc","Ensure 'Allow Diagnostic Data' is set to 'Enabled: Diagnostic data off (not recommended)' or 'Enabled: Send required diagnostic data' (Automated)","Registry","0","1","FAIL",""
"18.10.16.3","Enterprise - Misc","Ensure 'Disable OneSettings Downloads' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.10.16.4","Enterprise - Misc","Ensure 'Do not show feedback notifications' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.10.16.5","Enterprise - Misc","Ensure 'Enable OneSettings Auditing' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.10.16.6","Enterprise - Misc","Ensure 'Limit Diagnostic Log Collection' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.10.16.7","Enterprise - Misc","Ensure 'Limit Dump Collection' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.10.17.1","Enterprise - Misc","Ensure 'Download Mode' is NOT set to 'Enabled: Internet' (Automated)","Registry","anything","NOT FOUND","MISSING","Key/value not present"
"18.10.26.1.1","Enterprise - Set Default Settings","Ensure 'Application: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.26.1.2","Enterprise - Logging","Ensure 'Application: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)","Registry","32768","32768","PASS",""
"18.10.26.2.1","Enterprise - Set Default Settings","Ensure 'Security: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.26.2.2","Enterprise - Logging","Ensure 'Security: Specify the maximum log file size (KB)' is set to 'Enabled: 196,608 or greater' (Automated)","Registry","196608","196608","PASS",""
"18.10.26.3.1","Enterprise - Set Default Settings","Ensure 'Setup: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.26.3.2","Enterprise - Logging","Ensure 'Setup: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)","Registry","32768","32768","PASS",""
"18.10.26.4.1","Enterprise - Set Default Settings","Ensure 'System: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.26.4.2","Enterprise - Logging","Ensure 'System: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)","Registry","32768","32768","PASS",""
"18.10.29.3","Enterprise - Set Default Settings","Ensure 'Turn off Data Execution Prevention for Explorer' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.29.4","Enterprise - Set Default Settings","Ensure 'Do not apply the Mark of the Web tag to files copied from insecure sources' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.10.29.5","Enterprise - Set Default Settings","Ensure 'Turn off heap termination on corruption' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.10.29.6","Enterprise - Set Default Settings","Ensure 'Turn off shell protocol protected mode' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.10.43.5.1","Enterprise - Set Default Settings","Ensure 'Configure local setting override for reporting to Microsoft MAPS' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.5.1","Enterprise - Misc","Ensure 'Let Windows apps activate with voice while the system is locked' is set to 'Enabled: Force Deny' (Automated)","Registry","2","NOT FOUND","MISSING","Key/value not present"
"18.10.57.3.11.1","Enterprise -RDP Hardening","Ensure 'Do not delete temp folders upon exit' is set to 'Disabled' (Automated)","Registry","1","1","PASS",""
"18.10.57.3.3.3","Enterprise -RDP Hardening","Ensure 'Do not allow drive redirection' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.10.57.3.9.2","Enterprise -RDP Hardening","Ensure 'Require secure RPC communication' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.10.57.3.9.3","Enterprise -RDP Hardening","Ensure 'Require use of specific security layer for remote (RDP) connections' is set to 'Enabled: SSL' (Automated)","Registry","2","2","PASS",""
"18.10.57.3.9.4","Enterprise -RDP Hardening","Ensure 'Require user authentication for remote connections by using Network Level Authentication' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.10.57.3.9.5","Enterprise -RDP Hardening","Ensure 'Set client connection encryption level' is set to 'Enabled: High Level' (Automated)","Registry","3","3","PASS",""
"18.10.58.1","Enterprise - Misc","Ensure 'Prevent downloading of enclosures' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.10.58.2","Enterprise - Set Default Settings","Ensure 'Turn on Basic feed authentication over HTTP' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.10.6.1","Enterprise - Misc","Ensure 'Allow Microsoft accounts to be optional' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.10.66.2","Enterprise - Set Default Settings","Ensure 'Turn off Automatic Download and Install of updates' is set to 'Disabled' (Automated)","Registry","4","4","PASS",""
"18.10.72.1","Enterprise - Misc","Ensure 'Allow widgets' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.78.1","Enterprise - Misc","Ensure 'Enables or disables Windows Game Recording and Broadcasting' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.79.1","Enterprise - Set Default Settings","Ensure 'Enable ESS with Supported Peripherals' is set to 'Enabled: 1' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.10.8.1","Enterprise - Misc","Ensure 'Disallow Autoplay for non-volume devices' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.10.8.2","Enterprise - Misc","Ensure 'Set the default behavior for AutoRun' is set to 'Enabled: Do not execute any autorun commands' (Automated)","Registry","1","1","PASS",""
"18.10.8.3","Enterprise - Misc","Ensure 'Turn off Autoplay' is set to 'Enabled: All drives' (Automated)","Registry","255","NOT FOUND","MISSING","Key/value not present"
"18.10.80.2","Enterprise - Misc","Ensure 'Allow Windows Ink Workspace' is set to 'Enabled: On, but disallow access above lock' OR 'Enabled: Disabled' (Automated)","Registry","0","1","FAIL",""
"18.10.81.1","Enterprise - Set Default Settings","Ensure 'Allow user control over installs' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.81.2","FCTG-Disable Windows Installer","Ensure 'Always install with elevated privileges' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.82.1","Enterprise - Set Default Settings","Ensure 'Configure the transmission of the user's password in the content of MPR notifications sent by winlogon.' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.82.2","Enterprise - Misc","Ensure 'Sign-in and lock last interactive user automatically after a restart' is set to 'Disabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.10.89.1.1","Enterprise - Set Default Settings","Ensure 'Allow Basic authentication' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.89.1.2","Enterprise - Set Default Settings","Ensure 'Allow unencrypted traffic' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.89.2.1","Enterprise - Set Default Settings","Ensure 'Allow Basic authentication' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.89.2.3","Enterprise - Set Default Settings","Ensure 'Allow unencrypted traffic' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.10.9.1.1","Enterprise - Misc","Ensure 'Configure enhanced anti-spoofing' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.10.91.1","Enterprise - Misc","Ensure 'Allow clipboard sharing with Windows Sandbox' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.10.91.3","Enterprise - Misc","Ensure 'Allow networking in Windows Sandbox' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.4.1","Enterprise - Set Default Settings","Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.4.5","Enterprise - Misc","Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled' (Automated)","Registry","0","0","PASS",""
"18.4.6","Enterprise - Misc","Ensure 'NetBT NodeType configuration' is set to 'Enabled: P-node (recommended)' (Automated)","Registry","2","2","PASS",""
"18.4.7","MDIR-1.16_18-PwdPol_Wdigest","Ensure 'WDigest Authentication' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.5.1","Enterprise - Set Default Settings","Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.5.13","Enterprise - Misc","Ensure 'MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning' is set to 'Enabled: 90% or less' (Automated)","Registry","90","90","PASS",""
"18.5.2","Enterprise - Misc","Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)","Registry","2","NOT FOUND","MISSING","Key/value not present"
"18.5.3","Enterprise - Misc","Ensure 'MSS: (DisableIPSourceRouting) IP source routing protection level' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)","Registry","2","NOT FOUND","MISSING","Key/value not present"
"18.5.5","Enterprise - Misc","Ensure 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' is set to 'Disabled' (Automated)","Registry","0","1","FAIL",""
"18.5.7","Enterprise - Set Default Settings","Ensure 'MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.5.9","Enterprise - Set Default Settings","Ensure 'MSS: (SafeDllSearchMode) Enable Safe DLL search mode' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.6.7.1","Enterprise - Security defaults","Ensure 'Audit client does not support encryption' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.6.7.2","Enterprise - Security defaults","Ensure 'Audit client does not support signing' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.6.7.3","Enterprise - Security defaults","Ensure 'Audit insecure guest logon' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.6.7.4","Enterprise - Security defaults","Ensure 'Enable authentication rate limiter' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.6.7.5","Enterprise - Security defaults","Ensure 'Enable remote mailslots' is set to 'Disabled' (Automated)","Registry","0","1","FAIL",""
"18.6.7.6","Enterprise - Security defaults","Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1' (Automated)","Registry","785","785","PASS",""
"18.6.7.7","Enterprise - Security defaults","Ensure 'Set authentication rate limiter delay (milliseconds)' is set to 'Enabled: 2000' or more (Automated)","Registry","2000","NOT FOUND","MISSING","Key/value not present"
"18.6.8.1","Enterprise - Security defaults","Ensure 'Audit insecure guest logon' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.6.8.2","Enterprise - Security defaults","Ensure 'Audit server does not support encryption' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.6.8.3","Enterprise - Security defaults","Ensure 'Audit server does not support signing' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.6.8.4","Enterprise - Security defaults","Ensure 'Enable insecure guest logons' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.6.8.5","Enterprise - Security defaults","Ensure 'Enable remote mailslots' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.6.8.6","Enterprise - Security defaults","Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1' (Automated)","Registry","785","785","PASS",""
"18.6.8.7","Enterprise - Security defaults","Ensure 'Require Encryption' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.7.10","Enterprise - Set Default Settings","Ensure 'Limits print driver installation to Administrators' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.7.11","Enterprise - Set Default Settings","Ensure 'Manage processing of Queue-specific files' is set to 'Enabled: Limit Queue-specific files to Color profiles' (Automated)","Registry","1","1","PASS",""
"18.7.12","Enterprise - Set Default Settings","Ensure 'Point and Print Restrictions: When installing drivers for a new connection' is set to 'Enabled: Show warning and elevation prompt' (Automated)","Registry","0","1","FAIL",""
"18.7.13","Enterprise - Set Default Settings","Ensure 'Point and Print Restrictions: When updating drivers for an existing connection' is set to 'Enabled: Show warning and elevation prompt' (Automated)","Registry","0","0","PASS",""
"18.7.2","Enterprise - Set Default Settings","Ensure 'Configure Redirection Guard' is set to 'Enabled: Redirection Guard Enabled' (Automated)","Registry","1","1","PASS",""
"18.7.8","Enterprise - Set Default Settings","Ensure 'Configure RPC packet level privacy setting for incoming connections' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.9.13.1","Enterprise - Set Default Settings","Ensure 'Boot-Start Driver Initialization Policy' is set to 'Enabled: Good, unknown and bad but critical' (Automated)","Registry","3","NOT FOUND","MISSING","Key/value not present"
"18.9.19.2","Enterprise - GPO Hardening","Ensure 'Configure registry policy processing: Do not apply during periodic background processing' is set to 'Enabled: FALSE' (Automated)","Registry","0","0","PASS",""
"18.9.19.3","Enterprise - GPO Hardening","Ensure 'Configure registry policy processing: Process even if the Group Policy objects have not changed' is set to 'Enabled: TRUE' (Automated)","Registry","0","0","PASS",""
"18.9.19.4","Enterprise - GPO Hardening","Ensure 'Configure security policy processing: Do not apply during periodic background processing' is set to 'Enabled: FALSE' (Automated)","Registry","0","0","PASS",""
"18.9.19.5","Enterprise - GPO Hardening","Ensure 'Configure security policy processing: Process even if the Group Policy objects have not changed' is set to 'Enabled: TRUE' (Automated)","Registry","0","0","PASS",""
"18.9.19.6","Enterprise - GPO Hardening","Ensure 'Continue experiences on this device' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.9.19.7","Enterprise - GPO Hardening","Ensure 'Turn off background refresh of Group Policy' is set to 'Disabled' (Automated)","Registry","","NOT FOUND","MISSING","Key/value not present"
"18.9.20.1.2","Enterprise - Misc","Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.9.20.1.6","Enterprise - Misc","Ensure 'Turn off Internet download for Web publishing and online ordering wizards' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.9.25.1","Enterprise - LAPS","Ensure 'Configure password backup directory' is set to 'Enabled: Active Directory' or 'Enabled: Azure Active Directory' (Automated)","Registry","1","1","PASS",""
"18.9.25.2","MDIR-1.17-LAPS","Ensure 'Do not allow password expiration time longer than required by policy' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.9.25.3","Enterprise - Set Default Settings","Ensure 'Enable password encryption' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.9.25.4","Enterprise - Set Default Settings","Ensure 'Password Settings: Password Complexity' is set to 'Enabled: Large letters + small letters + numbers + special characters' (Automated)","Registry","4","NOT FOUND","MISSING","Key/value not present"
"18.9.25.5","Enterprise - LAPS","Ensure 'Password Settings: Password Length' is set to 'Enabled: 15 or more' (Automated)","Registry","15","30","FAIL",""
"18.9.25.6","Enterprise - Set Default Settings","Ensure 'Password Settings: Password Age (Days)' is set to 'Enabled: 30 or fewer' (Automated)","Registry","30","30","PASS",""
"18.9.25.7","Enterprise - LAPS","Ensure 'Post-authentication actions: Grace period (hours)' is set to 'Enabled: 8 or fewer hours, but not 0' (Automated)","Registry","8","NOT FOUND","MISSING","Key/value not present"
"18.9.25.8","Enterprise - LAPS","Ensure 'Post-authentication actions: Actions' is set to 'Enabled: Reset the password and logoff the managed account' or higher (Automated)","Registry","3","NOT FOUND","MISSING","Key/value not present"
"18.9.26.1","Enterprise - Misc","Ensure 'Allow Custom SSPs and APs to be loaded into LSASS' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.9.26.2","Enterprise - Misc","Ensure 'Configures LSASS to run as a protected process' is set to 'Enabled: Enabled with UEFI Lock' (Automated)","Registry","1","1","PASS",""
"18.9.28.1","Enterprise - Misc","Ensure 'Block user from showing account details on sign-in' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.9.28.2","Enterprise - Misc","Ensure 'Do not display network selection UI' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.9.28.3","Enterprise - Misc","Ensure 'Do not enumerate connected users on domain-joined computers' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.9.28.4","Enterprise - Set Default Settings","Ensure 'Enumerate local users on domain-joined computers' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.9.28.5","Enterprise - Misc","Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.9.28.6","Enterprise - Misc","Ensure 'Turn off picture password sign-in' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.9.30.1.1","Enterprise - Set Default Settings","Ensure 'Block NetBIOS-based discovery for domain controller location' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.9.33.6.1","Enterprise - Misc","Ensure 'Allow network connectivity during connected-standby (on battery)' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.9.33.6.2","Enterprise - Misc","Ensure 'Allow network connectivity during connected-standby (plugged in)' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.9.33.6.5","Enterprise - Set Default Settings","Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.9.33.6.6","Enterprise - Set Default Settings","Ensure 'Require a password when a computer wakes (plugged in)' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.9.35.1","Enterprise - Set Default Settings","Ensure 'Configure Offer Remote Assistance' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.9.35.2","Enterprise - Misc","Ensure 'Configure Solicited Remote Assistance' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"18.9.36.1","Enterprise - Misc","Ensure 'Enable RPC Endpoint Mapper Client Authentication' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.9.36.2","Enterprise - Set Default Settings","Ensure 'Restrict Unauthenticated RPC clients' is set to 'Enabled: Authenticated' (Automated)","Registry","1","1","PASS",""
"18.9.39.1","Enterprise - Set Default Settings","Ensure 'Configure SAM change password RPC methods policy' is set to 'Enabled: Block all change password RPC methods' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.9.4.1","Enterprise - Misc","Ensure 'Encryption Oracle Remediation' is set to 'Enabled: Force Updated Clients' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"18.9.4.2","Enterprise - Misc","Ensure 'Remote host allows delegation of non- exportable credentials' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"18.9.51.1.1","Enterprise - Misc","Ensure 'Enable Windows NTP Client' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"18.9.7.2","Enterprise - Misc","Ensure 'Prevent device metadata retrieval from the Internet' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.2.10","Enterprise - Set Default Settings","Ensure 'Create a pagefile' is set to 'Administrators' (Automated)","UserRight","Administrators","Administrators, Remote Desktop Users","PASS",""
"2.2.11","Enterprise - Set Default Settings","Ensure 'Create a token object' is set to 'No One' (Automated)","UserRight","No One","Administrators, Remote Desktop Users","PASS",""
"2.2.12","Enterprise - Set Default Settings","Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE' (Automated)","UserRight","Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE","LOCAL SERVICE, NETWORK SERVICE, Administrators, SERVICE","PASS",""
"2.2.13","Enterprise - Set Default Settings","Ensure 'Create permanent shared objects' is set to 'No One' (Automated)","UserRight","No One","LOCAL SERVICE, NETWORK SERVICE, Administrators, SERVICE","PASS",""
"2.2.14","Enterprise - Set Default Settings","Ensure 'Create symbolic links' is set to 'Administrators' (Automated)","UserRight","","LOCAL SERVICE, NETWORK SERVICE, Administrators, SERVICE","REVIEW",""
"2.2.25","Enterprise - Set Default Settings","Ensure 'Increase scheduling priority' is set to 'Administrators, Window Manager\Window Manager Group' (Automated)","UserRight","Administrators, Window Manager\Window Manager Group","Administrators, Window Manager\Window Manager Group","PASS",""
"2.2.27","Enterprise - Set Default Settings","Ensure 'Lock pages in memory' is set to 'No One' (Automated)","UserRight","No One","Administrators, Window Manager\Window Manager Group","PASS",""
"2.2.30","Enterprise - Set Default Settings","Ensure 'Manage auditing and security log' is set to 'Administrators' (Automated)","UserRight","Administrators","Administrators, Window Manager\Window Manager Group","PASS",""
"2.2.31","Enterprise - Set Default Settings","Ensure 'Modify an object label' is set to 'No One' (Automated)","UserRight","No One","","MANUAL","No secedit constant mapped for: Modify an object label"
"2.2.32","Enterprise - Set Default Settings","Ensure 'Modify firmware environment values' is set to 'Administrators' (Automated)","UserRight","Administrators","Administrators, Window Manager\Window Manager Group","PASS",""
"2.2.33","Enterprise - Set Default Settings","Ensure 'Perform volume maintenance tasks' is set to 'Administrators' (Automated)","UserRight","Administrators","","MANUAL","No secedit constant mapped for: Perform volume maintenance tasks"
